fork_id,fork_name,fork_full_name,fork_owner,fork_url,fork_created_at,fork_updated_at
MDEwOlJlcG9zaXRvcnk0NjA5ODc3MQ==,bcbio-nextgen,dormeight/bcbio-nextgen,dormeight,https://github.com/dormeight/bcbio-nextgen,2015-11-13T03:54:32Z,2018-03-05T18:22:46Z
MDEwOlJlcG9zaXRvcnk0NjYyODYzMA==,bcbio-nextgen,pombredanne/bcbio-nextgen,pombredanne,https://github.com/pombredanne/bcbio-nextgen,2015-11-21T18:47:59Z,2018-03-05T18:22:46Z
MDEwOlJlcG9zaXRvcnk0NjgyNTgxOA==,bcbio-nextgen,yanickpouliot/bcbio-nextgen,yanickpouliot,https://github.com/yanickpouliot/bcbio-nextgen,2015-11-24T23:49:00Z,2018-03-05T18:22:46Z
MDEwOlJlcG9zaXRvcnk0NzAyMDk0OQ==,bcbio-nextgen,Kange2014/bcbio-nextgen,Kange2014,https://github.com/Kange2014/bcbio-nextgen,2015-11-28T11:33:26Z,2018-03-05T18:22:46Z
MDEwOlJlcG9zaXRvcnk0NzQ0ODMxMA==,bcbio-nextgen,samesun/bcbio-nextgen,samesun,https://github.com/samesun/bcbio-nextgen,2015-12-05T08:21:13Z,2018-03-05T18:22:46Z
MDEwOlJlcG9zaXRvcnk0NzU3MjQyNA==,bcbio-nextgen,yanding/bcbio-nextgen,yanding,https://github.com/yanding/bcbio-nextgen,2015-12-07T18:53:59Z,2018-03-05T18:22:46Z
MDEwOlJlcG9zaXRvcnk0ODAyMjYzNg==,bcbio-nextgen,simexin/bcbio-nextgen,simexin,https://github.com/simexin/bcbio-nextgen,2015-12-15T05:54:28Z,2018-03-05T18:22:46Z
MDEwOlJlcG9zaXRvcnk0ODgwMDc1Mw==,bcbio-nextgen,amosonn/bcbio-nextgen,amosonn,https://github.com/amosonn/bcbio-nextgen,2015-12-30T12:57:50Z,2018-03-05T18:22:46Z
MDEwOlJlcG9zaXRvcnk0ODgzODY3OA==,bcbio-nextgen,dezzan/bcbio-nextgen,dezzan,https://github.com/dezzan/bcbio-nextgen,2015-12-31T07:07:08Z,2023-01-27T20:57:16Z
MDEwOlJlcG9zaXRvcnk1MjEwMzMyNA==,bcbio-nextgen,aiminy/bcbio-nextgen,aiminy,https://github.com/aiminy/bcbio-nextgen,2016-02-19T17:08:14Z,2016-02-19T17:08:16Z
